DMR_id,Feature
DMR_1,DMR_1
DMR_10,DMR_10
DMR_102,DMR_102
DMR_103,DMR_103
DMR_104,DMR_104
DMR_108,DMR_108
DMR_11,DMR_11
DMR_110,DMR_110
DMR_112,DMR_112
DMR_116,DMR_116
DMR_118,DMR_118
DMR_119,DMR_119
DMR_12,DMR_12
DMR_120,DMR_120
DMR_122,DMR_122
DMR_123,DMR_123
DMR_125,DMR_125
DMR_129,DMR_129
DMR_132,DMR_132
DMR_133,DMR_133
DMR_14,DMR_14
DMR_142,DMR_142
DMR_145,DMR_145
DMR_149,DMR_149
DMR_15,DMR_15
DMR_152,DMR_152
DMR_153,DMR_153
DMR_154,DMR_154
DMR_158,DMR_158
DMR_159,DMR_159
DMR_16,DMR_16
DMR_160,DMR_160
DMR_162,DMR_162
DMR_163,DMR_163
DMR_164,DMR_164
DMR_165,DMR_165
DMR_166,DMR_166
DMR_167,DMR_167
DMR_168,DMR_168
DMR_169,DMR_169
DMR_171,DMR_171
DMR_175,DMR_175
DMR_176,DMR_176
DMR_178,DMR_178
DMR_18,DMR_18
DMR_180,DMR_180
DMR_183,DMR_183
DMR_186,DMR_186
DMR_187,DMR_187
DMR_192,DMR_192
DMR_193,DMR_193
DMR_195,DMR_195
DMR_196,DMR_196
DMR_199,DMR_199
DMR_201,DMR_201
DMR_202,DMR_202
DMR_205,DMR_205
DMR_209,DMR_209
DMR_213,DMR_213
DMR_215,DMR_215
DMR_218,DMR_218
DMR_219,DMR_219
DMR_22,DMR_22
DMR_221,DMR_221
DMR_223,DMR_223
DMR_226,DMR_226
DMR_229,DMR_229
DMR_23,DMR_23
DMR_230,DMR_230
DMR_231,DMR_231
DMR_25,DMR_25
DMR_26,DMR_26
DMR_27,DMR_27
DMR_29,DMR_29
DMR_31,DMR_31
DMR_32,DMR_32
DMR_35,DMR_35
DMR_36,DMR_36
DMR_37,DMR_37
DMR_38,DMR_38
DMR_4,DMR_4
DMR_41,DMR_41
DMR_44,DMR_44
DMR_45,DMR_45
DMR_48,DMR_48
DMR_49,DMR_49
DMR_50,DMR_50
DMR_53,DMR_53
DMR_57,DMR_57
DMR_61,DMR_61
DMR_62,DMR_62
DMR_64,DMR_64
DMR_65,DMR_65
DMR_68,DMR_68
DMR_69,DMR_69
DMR_7,DMR_7
DMR_70,DMR_70
DMR_74,DMR_74
DMR_78,DMR_78
DMR_79,DMR_79
DMR_80,DMR_80
DMR_81,DMR_81
DMR_83,DMR_83
DMR_85,DMR_85
DMR_9,DMR_9
DMR_93,DMR_93
DMR_94,DMR_94
DMR_95,DMR_95
DMR_96,DMR_96
DMR_98,DMR_98
