Feature,Coefficient,DMR_id
DMR_7,-5.00609607534015,DMR_7
DMR_74,-2.46729833888744,DMR_74
DMR_4,-2.41985676625958,DMR_4
DMR_102,-2.29509797087063,DMR_102
DMR_49,2.20425645296963,DMR_49
DMR_18,-2.03219665703647,DMR_18
DMR_53,-1.62097018640207,DMR_53
DMR_68,1.54329806123914,DMR_68
DMR_104,1.46956032083936,DMR_104
DMR_79,-1.40422779249783,DMR_79
DMR_16,-1.30895978515302,DMR_16
DMR_10,-1.27894321008079,DMR_10
DMR_96,1.26280021337458,DMR_96
DMR_145,1.24582007797846,DMR_145
DMR_158,-1.19907216142903,DMR_158
DMR_69,1.19421319429169,DMR_69
DMR_149,-1.10718602858885,DMR_149
DMR_231,1.04672514043378,DMR_231
DMR_221,1.03610978751622,DMR_221
DMR_44,0.980989193001007,DMR_44
DMR_50,-0.978674466730855,DMR_50
DMR_118,-0.961949887258893,DMR_118
DMR_12,0.865384724610345,DMR_12
DMR_85,-0.843501884238627,DMR_85
DMR_162,0.806192237646348,DMR_162
DMR_81,0.804749545652728,DMR_81
DMR_9,-0.731415916087931,DMR_9
DMR_112,-0.67160650063583,DMR_112
DMR_171,0.63413980670266,DMR_171
DMR_22,0.62865000506991,DMR_22
DMR_169,-0.58065767798144,DMR_169
DMR_175,0.566277759637071,DMR_175
DMR_168,0.529106249641319,DMR_168
DMR_38,-0.52746561047073,DMR_38
DMR_65,-0.524291370997566,DMR_65
DMR_176,0.51781952232297,DMR_176
DMR_83,0.47495586109787,DMR_83
DMR_29,-0.470130616992343,DMR_29
DMR_57,-0.461205234216429,DMR_57
DMR_218,0.438567582845792,DMR_218
DMR_116,0.413845284315323,DMR_116
DMR_159,-0.373783965497584,DMR_159
DMR_103,-0.373214546588313,DMR_103
DMR_183,0.365863510354168,DMR_183
DMR_122,0.306774360782989,DMR_122
DMR_61,0.304634725232312,DMR_61
DMR_195,-0.29881692060949,DMR_195
DMR_154,0.295895962792017,DMR_154
DMR_36,-0.232986503667453,DMR_36
DMR_41,-0.230630397312666,DMR_41
DMR_123,0.212336909614932,DMR_123
DMR_165,-0.195091749347609,DMR_165
DMR_1,-0.188102118365979,DMR_1
DMR_219,0.171018782977181,DMR_219
DMR_226,0.154188850994583,DMR_226
DMR_196,0.153377143093929,DMR_196
DMR_48,0.135099093547447,DMR_48
DMR_167,0.12966151744208,DMR_167
DMR_98,0.118032524005672,DMR_98
DMR_11,0.0797769280237068,DMR_11
DMR_187,0.0569986002061185,DMR_187
DMR_27,-0.0468431564400176,DMR_27
DMR_32,0.0453922435814794,DMR_32
DMR_14,-0.0123625999370082,DMR_14
DMR_193,0.0118246501610695,DMR_193
DMR_94,-0.00923646203168905,DMR_94
DMR_199,-0.00775781496915848,DMR_199
