Feature,Overall,DMR_id
DMR_118,100,DMR_118
DMR_4,71.2940553119225,DMR_4
DMR_7,52.514292615594,DMR_7
DMR_9,48.4403491355677,DMR_9
DMR_29,42.1282816712797,DMR_29
DMR_41,30.5811778715796,DMR_41
DMR_53,27.3864634811673,DMR_53
DMR_102,26.7084719599052,DMR_102
DMR_18,23.5944439356877,DMR_18
DMR_158,16.0795032242323,DMR_158
DMR_65,10.7025394765784,DMR_65
DMR_27,8.79012063780004,DMR_27
DMR_36,8.69384905499569,DMR_36
DMR_74,7.82811829836896,DMR_74
DMR_15,7.33116714186569,DMR_15
DMR_153,7.16344345294488,DMR_153
DMR_10,6.92550031716373,DMR_10
DMR_57,6.37011572949715,DMR_57
DMR_16,5.46236932243724,DMR_16
DMR_112,4.70583526834131,DMR_112
DMR_160,4.08976217851188,DMR_160
DMR_26,4.00466092834516,DMR_26
DMR_98,3.52894377826275,DMR_98
DMR_22,3.4228293040877,DMR_22
DMR_45,3.17748876558277,DMR_45
DMR_70,2.7972083779782,DMR_70
DMR_1,2.63059676417621,DMR_1
DMR_149,1.64163566071525,DMR_149
DMR_85,1.595765906037,DMR_85
DMR_31,1.52278684444657,DMR_31
DMR_133,1.31834293977275,DMR_133
DMR_61,1.19473984672247,DMR_61
DMR_195,1.10652516795589,DMR_195
DMR_23,1.05483807121859,DMR_23
DMR_159,1.04707413953394,DMR_159
DMR_163,1.04144124251052,DMR_163
DMR_213,0.845275355499964,DMR_213
DMR_167,0.79750308744112,DMR_167
DMR_132,0.772134552292462,DMR_132
DMR_120,0.760195833152335,DMR_120
DMR_25,0.759551415500929,DMR_25
DMR_81,0.734899453984602,DMR_81
DMR_38,0.714953715986025,DMR_38
DMR_95,0.711276985050703,DMR_95
DMR_219,0.700522348895948,DMR_219
DMR_193,0.684384425528124,DMR_193
DMR_68,0.676853369948347,DMR_68
DMR_183,0.674613420779403,DMR_183
DMR_78,0.60581398493112,DMR_78
DMR_192,0.601316078710096,DMR_192
DMR_169,0.577987835253713,DMR_169
DMR_201,0.576162064091707,DMR_201
DMR_199,0.566217220976908,DMR_199
DMR_35,0.487580480561131,DMR_35
DMR_176,0.482861984367925,DMR_176
DMR_80,0.467780894058075,DMR_80
DMR_110,0.444039860047297,DMR_110
DMR_11,0.406620538049678,DMR_11
DMR_96,0.397973845692082,DMR_96
DMR_93,0.363983449058903,DMR_93
DMR_231,0.356964417837708,DMR_231
DMR_162,0.3551705265418,DMR_162
DMR_83,0.349200960630127,DMR_83
DMR_175,0.340105758689038,DMR_175
DMR_180,0.334878126149792,DMR_180
DMR_64,0.313755317875139,DMR_64
DMR_12,0.311519962179577,DMR_12
DMR_202,0.30919279050057,DMR_202
DMR_166,0.302746748660019,DMR_166
DMR_69,0.293374805111816,DMR_69
DMR_152,0.288037765850581,DMR_152
DMR_103,0.279567321026938,DMR_103
DMR_196,0.27369931845712,DMR_196
DMR_123,0.27262151006138,DMR_123
DMR_50,0.250173730987852,DMR_50
DMR_221,0.244005457736362,DMR_221
DMR_94,0.241692233411609,DMR_94
DMR_171,0.240016816498577,DMR_171
DMR_205,0.227250375475813,DMR_205
DMR_142,0.208961584995193,DMR_142
DMR_48,0.199585187991289,DMR_48
DMR_49,0.195253977550693,DMR_49
DMR_79,0.189953836693341,DMR_79
DMR_154,0.188053502973405,DMR_154
DMR_14,0.186376596519446,DMR_14
DMR_164,0.182910752605285,DMR_164
DMR_218,0.169057588857838,DMR_218
DMR_223,0.165468835665356,DMR_223
DMR_186,0.152495842014645,DMR_186
DMR_168,0.146755231309163,DMR_168
DMR_116,0.145486694240451,DMR_116
DMR_32,0.132286033607715,DMR_32
DMR_104,0.132146457266308,DMR_104
DMR_165,0.122147732650986,DMR_165
DMR_145,0.116417654499249,DMR_145
DMR_230,0.107131992111358,DMR_230
DMR_122,0.106719205248309,DMR_122
DMR_119,0.104514578261796,DMR_119
DMR_62,0.0961392709486192,DMR_62
DMR_37,0.0845796805633515,DMR_37
DMR_187,0.083333290714534,DMR_187
DMR_209,0.0805732057711327,DMR_209
DMR_215,0.0787703421784257,DMR_215
DMR_178,0.0724442744334298,DMR_178
DMR_125,0.0718240469763607,DMR_125
DMR_44,0.0620512037250709,DMR_44
DMR_226,0.0566792059954458,DMR_226
DMR_129,0.0401552708059355,DMR_129
DMR_108,0.0144016778139852,DMR_108
DMR_229,0,DMR_229
