Feature,Tumor,Normal,Overall,DMR_id
DMR_29,100,100,100,DMR_29
DMR_118,98.2682712063399,98.2682712063399,98.2682712063399,DMR_118
DMR_41,97.6518931611388,97.6518931611388,97.6518931611388,DMR_41
DMR_7,96.7420017610801,96.7420017610801,96.7420017610801,DMR_7
DMR_102,96.507191077194,96.507191077194,96.507191077194,DMR_102
DMR_74,96.008218373936,96.008218373936,96.008218373936,DMR_74
DMR_57,94.393894922219,94.393894922219,94.393894922219,DMR_57
DMR_36,93.1317874963311,93.1317874963311,93.1317874963311,DMR_36
DMR_26,91.8696800704432,91.8696800704432,91.8696800704432,DMR_26
DMR_9,91.5761667155856,91.5761667155856,91.5761667155856,DMR_9
DMR_10,91.0478426768418,91.0478426768418,91.0478426768418,DMR_10
DMR_153,89.8737892574112,89.8737892574112,89.8737892574112,DMR_153
DMR_53,89.8150865864397,89.8150865864397,89.8150865864397,DMR_53
DMR_120,89.521573231582,89.521573231582,89.521573231582,DMR_120
DMR_158,89.022600528324,89.022600528324,89.022600528324,DMR_158
DMR_27,88.2301144702084,88.2301144702084,88.2301144702084,DMR_27
DMR_65,88.2007631347226,88.2007631347226,88.2007631347226,DMR_65
DMR_85,87.9366011153508,87.9366011153508,87.9366011153508,DMR_85
DMR_4,87.5256824185501,87.5256824185501,87.5256824185501,DMR_4
DMR_94,87.290871734664,87.290871734664,87.290871734664,DMR_94
DMR_68,87.2615203991782,87.2615203991782,87.2615203991782,DMR_68
DMR_223,87.2028177282067,87.2028177282067,87.2028177282067,DMR_223
DMR_133,87.0560610507778,87.0560610507778,87.0560610507778,DMR_133
DMR_23,86.8799530378632,86.8799530378632,86.8799530378632,DMR_23
DMR_16,86.8506017023775,86.8506017023775,86.8506017023775,DMR_16
DMR_45,86.7038450249486,86.7038450249486,86.7038450249486,DMR_45
DMR_132,86.0581156442618,86.0581156442618,86.0581156442618,DMR_132
DMR_18,85.8526562958615,85.8526562958615,85.8526562958615,DMR_18
DMR_230,85.3243322571177,85.3243322571177,85.3243322571177,DMR_230
DMR_112,85.2656295861462,85.2656295861462,85.2656295861462,DMR_112
DMR_199,84.6199002054593,84.6199002054593,84.6199002054593,DMR_199
DMR_129,84.4731435280305,84.4731435280305,84.4731435280305,DMR_129
DMR_202,84.3850895215732,84.3850895215732,84.3850895215732,DMR_202
DMR_48,84.3263868506017,84.3263868506017,84.3263868506017,DMR_48
DMR_31,83.7100088054006,83.7100088054006,83.7100088054006,DMR_31
DMR_165,82.5946580569416,82.5946580569416,82.5946580569416,DMR_165
DMR_80,82.5946580569416,82.5946580569416,82.5946580569416,DMR_80
DMR_14,81.8902260052833,81.8902260052833,81.8902260052833,DMR_14
DMR_108,81.802171998826,81.802171998826,81.802171998826,DMR_108
DMR_98,81.7141179923687,81.7141179923687,81.7141179923687,DMR_98
DMR_50,81.6554153213972,81.6554153213972,81.6554153213972,DMR_50
DMR_37,81.4793073084826,81.4793073084826,81.4793073084826,DMR_37
DMR_167,81.420604637511,81.420604637511,81.420604637511,DMR_167
DMR_209,80.7748752568242,80.7748752568242,80.7748752568242,DMR_209
DMR_149,80.7161725858527,80.7161725858527,80.7161725858527,DMR_149
DMR_186,80.5987672439096,80.5987672439096,80.5987672439096,DMR_186
DMR_119,80.5107132374523,80.5107132374523,80.5107132374523,DMR_119
DMR_213,80.0704432051658,80.0704432051658,80.0704432051658,DMR_213
DMR_22,80.0704432051658,80.0704432051658,80.0704432051658,DMR_22
DMR_38,79.9530378632228,79.9530378632228,79.9530378632228,DMR_38
DMR_93,79.7475785148225,79.7475785148225,79.7475785148225,DMR_93
DMR_142,79.6008218373936,79.6008218373936,79.6008218373936,DMR_142
DMR_44,79.307308482536,79.307308482536,79.307308482536,DMR_44
DMR_205,79.1018491341356,79.1018491341356,79.1018491341356,DMR_205
DMR_162,78.925741121221,78.925741121221,78.925741121221,DMR_162
DMR_95,77.5755796888758,77.5755796888758,77.5755796888758,DMR_95
DMR_83,77.1646609920751,77.1646609920751,77.1646609920751,DMR_83
DMR_180,77.0766069856179,77.0766069856179,77.0766069856179,DMR_180
DMR_160,76.4602289404168,76.4602289404168,76.4602289404168,DMR_160
DMR_215,75.3742295274435,75.3742295274435,75.3742295274435,DMR_215
DMR_64,74.816554153214,74.816554153214,74.816554153214,DMR_64
DMR_201,74.5230407983563,74.5230407983563,74.5230407983563,DMR_201
DMR_226,74.5230407983563,74.5230407983563,74.5230407983563,DMR_226
DMR_96,74.1414734370414,74.1414734370414,74.1414734370414,DMR_96
DMR_79,73.9653654241268,73.9653654241268,73.9653654241268,DMR_79
DMR_1,73.8479600821838,73.8479600821838,73.8479600821838,DMR_1
DMR_49,73.7012034047549,73.7012034047549,73.7012034047549,DMR_49
DMR_15,72.4977986498386,72.4977986498386,72.4977986498386,DMR_15
DMR_192,71.8520692691517,71.8520692691517,71.8520692691517,DMR_192
DMR_62,71.5292045788084,71.5292045788084,71.5292045788084,DMR_62
DMR_69,70.6486645142354,70.6486645142354,70.6486645142354,DMR_69
DMR_110,70.0616378045201,70.0616378045201,70.0616378045201,DMR_110
DMR_164,69.7387731141767,69.7387731141767,69.7387731141767,DMR_164
DMR_166,68.5353683592604,68.5353683592604,68.5353683592604,DMR_166
DMR_122,68.0070443205166,68.0070443205166,68.0070443205166,DMR_122
DMR_103,67.9483416495451,67.9483416495451,67.9483416495451,DMR_103
DMR_221,67.713530965659,67.713530965659,67.713530965659,DMR_221
DMR_145,66.8623422365718,66.8623422365718,66.8623422365718,DMR_145
DMR_187,66.8036395656003,66.8036395656003,66.8036395656003,DMR_187
DMR_125,66.3927208687996,66.3927208687996,66.3927208687996,DMR_125
DMR_11,64.9838567654828,64.9838567654828,64.9838567654828,DMR_11
DMR_229,64.5435867331964,64.5435867331964,64.5435867331964,DMR_229
DMR_104,64.4555327267391,64.4555327267391,64.4555327267391,DMR_104
DMR_35,63.4575873202231,63.4575873202231,63.4575873202231,DMR_35
DMR_175,62.6357499266217,62.6357499266217,62.6357499266217,DMR_175
DMR_152,62.5476959201644,62.5476959201644,62.5476959201644,DMR_152
DMR_32,62.5183445846786,62.5183445846786,62.5183445846786,DMR_32
DMR_218,62.224831229821,62.224831229821,62.224831229821,DMR_218
DMR_81,62.0780745523921,62.0780745523921,62.0780745523921,DMR_81
DMR_123,61.8726152039918,61.8726152039918,61.8726152039918,DMR_123
DMR_116,60.4050484297036,60.4050484297036,60.4050484297036,DMR_116
DMR_171,54.7695920164368,54.7695920164368,54.7695920164368,DMR_171
DMR_78,54.0651599647784,54.0651599647784,54.0651599647784,DMR_78
DMR_195,52.4214851775756,52.4214851775756,52.4214851775756,DMR_195
DMR_159,52.3334311711183,52.3334311711183,52.3334311711183,DMR_159
DMR_193,52.245377164661,52.245377164661,52.245377164661,DMR_193
DMR_70,51.1887290871735,51.1887290871735,51.1887290871735,DMR_70
DMR_178,50.6017023774582,50.6017023774582,50.6017023774582,DMR_178
DMR_25,47.5198121514529,47.5198121514529,47.5198121514529,DMR_25
DMR_231,46.4631640739654,46.4631640739654,46.4631640739654,DMR_231
DMR_12,45.0249486351629,45.0249486351629,45.0249486351629,DMR_12
DMR_154,43.2932198415028,43.2932198415028,43.2932198415028,DMR_154
DMR_183,41.7963017317288,41.7963017317288,41.7963017317288,DMR_183
DMR_61,39.037276196067,39.037276196067,39.037276196067,DMR_61
DMR_169,38.655708834752,38.655708834752,38.655708834752,DMR_169
DMR_196,23.9800410918697,23.9800410918697,23.9800410918697,DMR_196
DMR_219,21.8080422659231,21.8080422659231,21.8080422659231,DMR_219
DMR_168,20.5165835045495,20.5165835045495,20.5165835045495,DMR_168
DMR_176,18.2271793366598,18.2271793366598,18.2271793366598,DMR_176
DMR_163,0,0,0,DMR_163
