Feature,SHAP_rank,priority_rank,mean_abs_SHAP,discovery_deltaBeta,validation_mean_deltaBeta,legacy_discovery_deltaBeta,discovery_no_cpgs,score_SHAP,score_discovery_delta,priority_score,rank_change
DMR_7,1,1,0.00272809676882748,0.310872401795932,0.308741777554531,0.308741777554531,14,1,0.728023800324356,0.891209520129742,0
DMR_4,2,2,0.00235623946107487,0.351602984885498,0.296280657450557,0.296280657450557,10,0.817958036377261,1,0.890774821826357,0
DMR_41,6,3,0.00208788486116139,0.326940155642584,0.24530080087618,0.24530080087618,30,0.68658560588587,0.835315331578069,0.74607749616275,3
DMR_14,10,4,0.00199274604094886,0.313156379543068,0.279911091572014,0.279911091572014,33,0.640010596366996,0.743274934501438,0.681316331620773,6
DMR_149,17,5,0.00185644510347732,0.306807617167045,0.257624143498579,0.257624143498579,6,0.573284758838352,0.700881427394569,0.624323426260839,12
DMR_74,3,6,0.00220434303306743,0.257164538834538,0.229917327210831,0.229917327210831,24,0.74359745922773,0.369392537206441,0.593915490419214,-3
DMR_118,4,7,0.00217658253249445,0.257666053426922,0.216263362788925,0.216263362788925,21,0.730007364505648,0.372741372960118,0.587100967887436,-3
DMR_9,15,8,0.00192468150056124,0.279431956463856,0.28349859276806,0.28349859276806,19,0.606689743644951,0.518081978015447,0.57124663739315,7
DMR_10,5,9,0.00210444024283181,0.249260958454015,0.28162433000408,0.28162433000408,12,0.69469025819463,0.316616819485957,0.543460882711161,-4
DMR_29,14,10,0.00193753107604973,0.266965176569635,0.256518535374298,0.256518535374298,19,0.612980226324396,0.434835749736148,0.541722435689097,4
DMR_1,38,11,0.00160937672838305,0.300586679959902,0.328616435696098,0.328616435696098,16,0.452332954978247,0.65934146573237,0.535136359279896,27
DMR_85,11,12,0.00197372694188075,0.259281117223355,0.225733709787745,0.225733709787745,11,0.630699836383229,0.383525871493362,0.531830250427282,-1
DMR_65,16,13,0.0018803165299165,0.259343599930668,0.232545086582901,0.232545086582901,12,0.58497096549038,0.383943096290833,0.504559817810561,3
DMR_37,31,14,0.00162903778035393,0.285465449232691,0.247687414274809,0.247687414274809,20,0.461957981656622,0.558370289882473,0.500522904946963,17
DMR_112,13,15,0.00194423698650258,0.249824085941954,0.218079085956795,0.218079085956795,14,0.616263090695393,0.320377071917545,0.497908683184254,-2
DMR_119,7,16,0.00204952604817251,0.237480192808549,0.215954124079686,0.215954124079686,26,0.667807129590926,0.237951413138165,0.495864843009822,-9
DMR_36,36,17,0.00161696892125743,0.282407600875827,0.248245452795993,0.248245452795993,26,0.456049697046348,0.537951677817542,0.488810489354826,19
DMR_31,20,18,0.0017553052365274,0.266449358141243,0.254343583460023,0.254343583460023,19,0.523771949499252,0.431391400914325,0.486819730065282,2
DMR_132,8,19,0.002035589743481,0.23556635234499,0.209272059707741,0.209272059707741,18,0.660984640913697,0.225171850053599,0.486659524569658,-11
DMR_53,18,20,0.00177901803209054,0.259034709003954,0.237718135017608,0.237718135017608,9,0.53538049873925,0.381880494334528,0.473980496977361,-2
DMR_11,34,21,0.00161921495186701,0.275103969029897,0.280700128615106,0.280700128615106,11,0.457149236611659,0.489182083016555,0.469962375173617,13
DMR_158,12,22,0.00196110328787119,0.236659048817713,0.221541379316953,0.221541379316953,26,0.624519953089061,0.232468269881341,0.467699279805973,-10
DMR_18,21,23,0.00172642161693491,0.260910206538505,0.271078119697676,0.271078119697676,11,0.509632034221194,0.394404024646543,0.463540830391334,-2
