Feature,TCGA_mean_Normal,TCGA_mean_Tumor,TCGA_deltaBeta,TCGA_wilcox_p,TCGA_FDR
DMR_1,0.0510824944454236,0.426103409960914,0.37502091551549,0.00000000000000000687530163377643,0.00000000000000000741454097760203
DMR_10,0.14134927375189,0.515631308964705,0.374282035212814,6.54478896953289e-27,1.24155649774465e-25
DMR_102,0.0813977243454328,0.347714313592708,0.266316589247276,2.02192848390086e-26,1.3083066660535e-25
DMR_103,0.193208846939305,0.493075830641511,0.299866983702205,0.00000000000000000000000449166083697916,0.00000000000000000000000726592194217217
DMR_104,0.176789840264011,0.462013300125148,0.285223459861138,0.0000000000000000000000395977410874437,0.000000000000000000000054446893995235
DMR_108,0.163741552110006,0.446291244841525,0.28254969273152,1.27710370669413e-25,3.90226132600984e-25
DMR_11,0.215311038631939,0.565618006234734,0.350306967602795,0.000000000000000000000357826540491474,0.000000000000000000000447283175614342
DMR_110,0.0967256102631017,0.374416335463986,0.277690725200884,0.000000000000000000000303438651584586,0.00000000000000000000038365806522189
DMR_112,0.200905829204771,0.496039707521404,0.295133878316633,0.0000000000000000000000027107383134534,0.0000000000000000000000049696869079979
DMR_116,0.264392957196208,0.54157324580596,0.277180288609752,0.000000000000000000000129392312732256,0.00000000000000000000016944231429224
DMR_118,0.17277923817574,0.473423321049913,0.300644082874173,8.27246480808394e-27,1.24155649774465e-25
DMR_119,0.2452046834826,0.579097813756131,0.333893130273532,5.10047046002872e-26,2.15789134847369e-25
DMR_12,0.11042901977682,0.477551332104789,0.367122312327969,0.000000000000000000000279398691814415,0.000000000000000000000357370419762624
DMR_120,0.271956073059884,0.547989274094211,0.276033201034327,1.35442527026689e-26,1.24155649774465e-25
DMR_122,0.213237947413182,0.531665641936077,0.318427694522895,5.51633947177595e-25,0.00000000000000000000000121359468379071
DMR_123,0.186427056738712,0.465600379695039,0.279173322956327,0.0000000000000000000596710144757115,0.0000000000000000000698277828971092
DMR_125,0.192199248654621,0.509679843916192,0.317480595261572,0.00000000000000000000000751607010651235,0.0000000000000000000000114828848849494
DMR_129,0.298284382613013,0.553167436119467,0.254883053506455,0.00000000000000000000000187045456489864,0.0000000000000000000000036741071810509
DMR_132,0.216609881001092,0.501068200263004,0.284458319261912,4.7841930277146e-26,2.10504493219443e-25
DMR_133,0.184994020898825,0.453796862422973,0.268802841524148,0.00000000000000000000000392344768663428,0.00000000000000000000000644148127656374
DMR_14,0.144876316288765,0.512360307594362,0.367483991305597,1.99600619039872e-26,1.3083066660535e-25
DMR_142,0.283593293901703,0.559113177744718,0.275519883843015,7.48328932444732e-26,2.83848905410071e-25
DMR_145,0.310841314248245,0.597250120151156,0.286408805902911,0.0000000000000000000000134949444338305,0.0000000000000000000000195321564173862
DMR_149,0.222791382708229,0.567807782796574,0.345016400088344,3.59976137486564e-25,8.99940343716409e-25
DMR_15,0.132229724351077,0.466821755179126,0.33459203082805,0.0000000000000000000590107137066562,0.0000000000000000000697976183627116
DMR_152,0.178144376180012,0.510266172384632,0.332121796204619,0.00000000000000000000000625554943030012,0.00000000000000000000000969169630046497
DMR_153,0.1022358486275,0.347078715367988,0.244842866740488,8.50084475332596e-26,2.9221653839558e-25
DMR_154,0.124750572580846,0.421718405485839,0.296967832904993,0.00000000000000000117984781513057,0.00000000000000000132431897616696
DMR_158,0.0977967946794541,0.375100405858248,0.277303611178794,5.05293729818944e-25,0.00000000000000000000000115796479750175
DMR_159,0.0794954601794609,0.337891507406742,0.258396047227281,0.000000000000000000141510639888807,0.000000000000000000162147608205925
DMR_16,0.131865725770508,0.507753909286381,0.375888183515873,6.9851671845714e-27,1.24155649774465e-25
DMR_160,0.109721254155747,0.382095055506943,0.272373801351196,8.5453290086399e-25,0.00000000000000000000000180766575182767
DMR_162,0.151675875489595,0.431829610266151,0.280153734776556,6.13195439450424e-27,1.24155649774465e-25
DMR_163,0.138244963123725,0.384704900974976,0.246459937851251,0.0000000000000572877782028489,0.000000000000057813354149664
DMR_164,0.140806070362361,0.42316020285967,0.282354132497309,0.0000000000000000000000269245331523875,0.0000000000000000000000374898562881345
DMR_165,0.140171708402023,0.483267769167346,0.343096060765323,1.33700130767443e-26,1.24155649774465e-25
DMR_166,0.20177931449464,0.478950126348551,0.277170811853912,0.0000000000000000000000027784998160641,0.00000000000000000000000499081904358709
DMR_167,0.143064197496353,0.444349555172032,0.301285357675679,1.79835271851694e-25,5.20575786939113e-25
DMR_168,0.133772737150124,0.379155994662448,0.245383257512324,0.0000000000000000337033977877294,0.000000000000000035308321491907
DMR_169,0.150206625783704,0.444272944572466,0.294066318788762,0.000000000000000421231499284569,0.000000000000000433041728236473
DMR_171,0.119110320041585,0.381520823017991,0.262410502976406,0.00000000000000000000465383308073351,0.00000000000000000000568801820978541
DMR_175,0.131850528796207,0.45793820745691,0.326087678660702,0.0000000000000000000000235730229664313,0.0000000000000000000000332440067475314
DMR_176,0.147357157037986,0.425608918254212,0.278251761216226,0.0000000000000000017914347525211,0.00000000000000000199048305835678
DMR_178,0.129675712516391,0.4198767646284,0.290201052112009,0.0000000000000000000753535264012719,0.0000000000000000000872514516225253
DMR_18,0.100864924149745,0.429607948313704,0.328743024163959,7.02076456024167e-26,2.75815750580923e-25
DMR_180,0.092682965805195,0.35562390273576,0.262940936930565,0.0000000000000000000000109726842722833,0.000000000000000000000016310746891232
