"DMR_ID","chr","start","end","dataset","group","mean_beta"
"DMR_1","chr19",37997105,37998171,"GSE213478","Blood",0.0225097286588157
"DMR_1","chr19",37997105,37998171,"GSE213478","Breast",0.0177043999608248
"DMR_1","chr19",37997105,37998171,"GSE213478","Colon",0.0257503378876527
"DMR_1","chr19",37997105,37998171,"GSE213478","Kidney",0.0180136319638912
"DMR_1","chr19",37997105,37998171,"GSE213478","Lung",0.0224187829935893
"DMR_1","chr19",37997105,37998171,"GSE213478","Muscle",0.01830482131628
"DMR_1","chr19",37997105,37998171,"GSE213478","Ovary",0.0173505738746679
"DMR_1","chr19",37997105,37998171,"GSE213478","Prostate",0.0187252877048279
"DMR_1","chr19",37997105,37998171,"GSE213478","Testis",0.0171931576247408
"DMR_2","chr8",67343066,67345767,"GSE213478","Blood",0.285405062336239
"DMR_2","chr8",67343066,67345767,"GSE213478","Breast",0.214098522643946
"DMR_2","chr8",67343066,67345767,"GSE213478","Colon",0.237908885548766
"DMR_2","chr8",67343066,67345767,"GSE213478","Kidney",0.167623405019628
"DMR_2","chr8",67343066,67345767,"GSE213478","Lung",0.219303910239122
"DMR_2","chr8",67343066,67345767,"GSE213478","Muscle",0.104119750394982
"DMR_2","chr8",67343066,67345767,"GSE213478","Ovary",0.183473839753179
"DMR_2","chr8",67343066,67345767,"GSE213478","Prostate",0.21290051580014
"DMR_2","chr8",67343066,67345767,"GSE213478","Testis",0.183744869520087
"DMR_3","chr3",192126023,192127991,"GSE213478","Blood",0.0448877148409461
"DMR_3","chr3",192126023,192127991,"GSE213478","Breast",0.0426374265054171
"DMR_3","chr3",192126023,192127991,"GSE213478","Colon",0.0895173560540213
"DMR_3","chr3",192126023,192127991,"GSE213478","Kidney",0.0460933911775701
"DMR_3","chr3",192126023,192127991,"GSE213478","Lung",0.0417831001798792
"DMR_3","chr3",192126023,192127991,"GSE213478","Muscle",0.0299606750590622
"DMR_3","chr3",192126023,192127991,"GSE213478","Ovary",0.02536471410033
"DMR_3","chr3",192126023,192127991,"GSE213478","Prostate",0.0528859309779916
"DMR_3","chr3",192126023,192127991,"GSE213478","Testis",0.0264767578027001
"DMR_4","chr19",12266489,12267897,"GSE213478","Blood",0.0715597956604302
"DMR_4","chr19",12266489,12267897,"GSE213478","Breast",0.0409193773375749
"DMR_4","chr19",12266489,12267897,"GSE213478","Colon",0.0854886175579645
"DMR_4","chr19",12266489,12267897,"GSE213478","Kidney",0.058256430279549
"DMR_4","chr19",12266489,12267897,"GSE213478","Lung",0.0583275372889859
"DMR_4","chr19",12266489,12267897,"GSE213478","Muscle",0.0445493676111851
"DMR_4","chr19",12266489,12267897,"GSE213478","Ovary",0.0264447199686081
"DMR_4","chr19",12266489,12267897,"GSE213478","Prostate",0.0478431020104969
"DMR_4","chr19",12266489,12267897,"GSE213478","Testis",0.0294322478799107
"DMR_5","chr13",28500882,28503812,"GSE213478","Blood",0.104515529285407
"DMR_5","chr13",28500882,28503812,"GSE213478","Breast",0.0953310908202746
"DMR_5","chr13",28500882,28503812,"GSE213478","Colon",0.172683050326246
"DMR_5","chr13",28500882,28503812,"GSE213478","Kidney",0.0876603899810167
"DMR_5","chr13",28500882,28503812,"GSE213478","Lung",0.0940115606467519
