"DMR_ID","chr","start","end","dataset","nCpG_background","mean_beta_all_background","max_sample_beta","max_group_mean_beta","background_pass"
"DMR_1","chr19",37997105,37998171,"GSE213478",15,0.0209452776336167,0.1276893289714,0.0257503378876527,TRUE
"DMR_2","chr8",67343066,67345767,"GSE213478",12,0.210212638346888,0.480599983192094,0.285405062336239,FALSE
"DMR_3","chr3",192126023,192127991,"GSE213478",13,0.0503668122344915,0.426338817640265,0.0895173560540213,TRUE
"DMR_4","chr19",12266489,12267897,"GSE213478",10,0.0555708384432488,0.160497781812522,0.0854886175579645,TRUE
"DMR_5","chr13",28500882,28503812,"GSE213478",15,0.101923261478752,0.567930868876085,0.172683050326246,TRUE
"DMR_6","chr1",47909234,47912753,"GSE213478",16,0.191099738756808,0.527140019794361,0.457767548320209,FALSE
"DMR_7","chr6",62995523,62997123,"GSE213478",13,0.103738220142641,0.368680715842659,0.13722710245075,TRUE
"DMR_8","chr15",28351607,28353889,"GSE213478",10,0.214886419797177,0.343522184148504,0.253182838049728,FALSE
"DMR_9","chr8",67872678,67875922,"GSE213478",19,0.141459531559702,0.31681111000168,0.163411325941826,TRUE
"DMR_10","chr20",41817011,41819775,"GSE213478",12,0.104814552138233,0.270740944809489,0.147521948970149,TRUE
"DMR_11","chr2",144693520,144695257,"GSE213478",11,0.173604845321657,0.239689405487846,0.198635761244293,TRUE
"DMR_12","chr20",61049777,61051802,"GSE213478",24,0.0779684707494472,0.289262012097103,0.114477480032482,TRUE
"DMR_13","chr12",95941571,95943131,"GSE213478",16,0.113020308785806,0.440287986514332,0.139277977587411,TRUE
"DMR_14","chr10",118030848,118034357,"GSE213478",33,0.0435069691363195,0.191292588442188,0.0691447653469995,TRUE
"DMR_15","chr19",37406260,37408110,"GSE213478",14,0.155054925202216,0.316059580925211,0.193301572454863,TRUE
"DMR_16","chr7",49812430,49816819,"GSE213478",19,0.129458714496952,0.534623586837044,0.161126117755388,TRUE
"DMR_17","chr11",7271955,7274234,"GSE213478",12,0.181481170063721,0.391866197036855,0.234835000220728,FALSE
"DMR_18","chr1",49242359,49243472,"GSE213478",11,0.0594242203465978,0.116517903893899,0.0832574584843707,TRUE
"DMR_19","chr8",145103309,145107857,"GSE213478",18,0.212850050473413,0.60746635292151,0.487419549536828,FALSE
"DMR_20","chr6",133561368,133564578,"GSE213478",43,0.167280720903056,0.482974159247085,0.244501969353694,FALSE
"DMR_21","chr6",84417445,84419827,"GSE213478",22,0.183748435284966,0.422756935397777,0.258853496878911,FALSE
"DMR_22","chr19",56904442,56905587,"GSE213478",13,0.143587418301596,0.355705286819425,0.176098219118249,TRUE
"DMR_23","chr12",72665282,72668470,"GSE213478",18,0.135358836235742,0.372767500735678,0.195438087191984,TRUE
"DMR_24","chr17",43339040,43340758,"GSE213478",11,0.221677535579742,0.435669678907045,0.316512651837516,FALSE
"DMR_25","chr8",32404299,32406928,"GSE213478",11,0.118702392742338,0.296255048982428,0.151955768653654,TRUE
"DMR_26","chr7",98466938,98468586,"GSE213478",10,0.124966321129089,0.261572398072891,0.143617014136855,TRUE
"DMR_27","chr2",115918326,115921258,"GSE213478",19,0.121659237621749,0.445569248325129,0.184220785292231,TRUE
"DMR_28","chr7",24322873,24325371,"GSE213478",18,0.133152055732416,0.552270311956331,0.386102886033533,FALSE
"DMR_29","chr6",390933,394966,"GSE213478",19,0.0758987455552553,0.341933514349992,0.109519955400452,TRUE
"DMR_30","chr6",29520698,29521803,"GSE213478",34,0.125921485818668,0.513179905574491,0.172931761773969,TRUE
"DMR_31","chr1",108505752,108508626,"GSE213478",17,0.0604149017549198,0.162892364911977,0.0815758134036372,TRUE
"DMR_32","chr3",96532006,96533824,"GSE213478",13,0.0481361886409065,0.216229354528925,0.0818249546099794,TRUE
"DMR_33","chr8",97504959,97507958,"GSE213478",20,0.142033221467954,0.212329743917956,0.198316256547585,TRUE
"DMR_34","chr8",68862516,68865187,"GSE213478",16,0.20624995675183,0.395073570921623,0.247276619673136,FALSE
"DMR_35","chr19",36909326,36910116,"GSE213478",6,0.0540300952283997,0.194831459220523,0.0991642855496048,TRUE
