"DMR_ID","chr","start","end","n_background_datasets","n_background_pass","min_nCpG_background","max_nCpG_background","max_beta_across_background","mean_beta_across_background","background_pass_all"
"DMR_1","chr19",37997105,37998171,2,2,13,15,0.0813011073692308,0.0463720972852149,TRUE
"DMR_2","chr8",67343066,67345767,2,0,11,12,0.285405062336239,0.19872937788773,FALSE
"DMR_3","chr3",192126023,192127991,2,1,13,15,0.246712433216667,0.0736207655089124,FALSE
"DMR_4","chr19",12266489,12267897,2,2,9,10,0.126023420288889,0.07164452908968,TRUE
"DMR_5","chr13",28500882,28503812,2,1,14,15,0.506387654,0.145964289095243,FALSE
"DMR_6","chr1",47909234,47912753,2,0,15,16,0.457767548320209,0.199373465272452,FALSE
"DMR_7","chr6",62995523,62997123,2,2,13,14,0.140942019771429,0.110927882324509,TRUE
"DMR_8","chr15",28351607,28353889,2,0,9,10,0.253182838049728,0.195501142840057,FALSE
"DMR_9","chr8",67872678,67875922,2,2,14,19,0.190975308314286,0.15279509973457,TRUE
"DMR_10","chr20",41817011,41819775,2,2,12,12,0.147521948970149,0.0940599409277475,TRUE
"DMR_11","chr2",144693520,144695257,2,2,7,11,0.198635761244293,0.180860885880216,TRUE
"DMR_12","chr20",61049777,61051802,2,2,24,25,0.13149025514,0.0902361329365093,TRUE
"DMR_13","chr12",95941571,95943131,2,1,10,16,0.247668607311111,0.145094778542506,FALSE
"DMR_14","chr10",118030848,118034357,2,2,30,33,0.12144419848,0.0757604971613145,TRUE
"DMR_15","chr19",37406260,37408110,2,2,14,14,0.193301572454863,0.139130782522664,TRUE
"DMR_16","chr7",49812430,49816819,2,2,19,19,0.169363393355263,0.134698678155901,TRUE
"DMR_17","chr11",7271955,7274234,2,1,11,12,0.234835000220728,0.166405487048094,FALSE
"DMR_18","chr1",49242359,49243472,2,2,9,11,0.149458038777778,0.0865886328280608,TRUE
"DMR_19","chr8",145103309,145107857,2,0,17,18,0.529251639658823,0.256525603482505,FALSE
"DMR_20","chr6",133561368,133564578,2,0,43,50,0.244501969353694,0.171582436464684,FALSE
"DMR_21","chr6",84417445,84419827,2,1,15,22,0.258853496878911,0.163646619222245,FALSE
"DMR_22","chr19",56904442,56905587,2,2,12,13,0.176098219118249,0.129734331586066,TRUE
"DMR_23","chr12",72665282,72668470,2,2,17,18,0.195438087191984,0.117120677956632,TRUE
"DMR_24","chr17",43339040,43340758,2,0,11,14,0.402805993446429,0.225111677870228,FALSE
"DMR_25","chr8",32404299,32406928,2,2,9,11,0.151955768653654,0.103379936308669,TRUE
"DMR_26","chr7",98466938,98468586,2,2,6,10,0.143617014136855,0.111358028351747,TRUE
"DMR_27","chr2",115918326,115921258,2,2,13,19,0.184220785292231,0.130181874816369,TRUE
"DMR_28","chr7",24322873,24325371,2,1,15,18,0.386102886033533,0.13429840350847,FALSE
"DMR_29","chr6",390933,394966,2,2,16,19,0.1797972931375,0.102608652690574,TRUE
"DMR_30","chr6",29520698,29521803,2,1,34,39,0.422834766666667,0.151703088599123,FALSE
"DMR_31","chr1",108505752,108508626,2,2,11,17,0.133394064340909,0.07839427469483,TRUE
"DMR_32","chr3",96532006,96533824,2,2,13,14,0.0958131355952381,0.0633306817356318,TRUE
"DMR_33","chr8",97504959,97507958,2,1,18,20,0.214380450688889,0.170866897787548,FALSE
"DMR_34","chr8",68862516,68865187,2,1,15,16,0.247276619673136,0.183616126019368,FALSE
"DMR_35","chr19",36909326,36910116,2,2,6,7,0.1945418632,0.0992408370619039,TRUE
"DMR_36","chr4",96468962,96471143,2,2,22,26,0.114576656439394,0.068794853219775,TRUE
"DMR_37","chr8",85094437,85097429,2,2,19,20,0.198857954171053,0.134380101917459,TRUE
