DMR_id,chr,start,end,nCpG_450K_annotation,nCpG_present_GSE101764
DMR_1,chr19,37997105,37998171,13,13
DMR_10,chr20,41817011,41819775,12,12
DMR_102,chr11,65600773,65601427,13,12
DMR_103,chr7,145812625,145814306,17,17
DMR_104,chr8,89338965,89341103,13,13
DMR_108,chr2,137521943,137523892,8,8
DMR_11,chr2,144693520,144695257,7,7
DMR_110,chr6,94126141,94129636,18,18
DMR_112,chr7,84814140,84816843,14,14
DMR_116,chr17,6616351,6617470,11,11
DMR_118,chr4,110222806,110224951,22,21
DMR_119,chr11,105479843,105481988,18,18
DMR_12,chr20,61049777,61051802,26,25
DMR_120,chr11,20689672,20693928,20,20
DMR_122,chr2,154727485,154730326,19,17
DMR_123,chr6,85471973,85474803,18,17
DMR_125,chr4,5712426,5713546,11,11
DMR_129,chr9,37026418,37027815,7,7
DMR_132,chr1,77331940,77334748,18,16
DMR_133,chr18,25754301,25758434,17,17
DMR_14,chr10,118030848,118034357,30,30
DMR_142,chr8,55379034,55380663,9,9
DMR_145,chr19,53757677,53758609,10,7
DMR_149,chr13,25620954,25621735,7,6
DMR_15,chr19,37406260,37408110,16,14
DMR_152,chr19,13616871,13617970,9,9
DMR_153,chr7,108095719,108097606,12,12
DMR_154,chr18,18821328,18823509,14,14
DMR_158,chr11,110581434,110584727,22,22
DMR_159,chr12,24714652,24717178,19,19
DMR_16,chr7,49812430,49816819,19,19
DMR_160,chr6,127438426,127442679,18,18
DMR_162,chr13,95362829,95366456,25,24
DMR_163,chr13,96296144,96297326,12,12
DMR_164,chr3,140769274,140771786,23,23
DMR_165,chr6,166421992,166422741,6,6
DMR_166,chr9,133534961,133542125,17,17
DMR_167,chr9,841067,843748,10,10
DMR_168,chr18,5894665,5896267,9,9
DMR_169,chr19,52900882,52901639,13,12
DMR_171,chr12,133484026,133485856,8,8
DMR_175,chr5,1930801,1932098,9,8
DMR_176,chr20,8111582,8113630,7,7
DMR_178,chr11,24518149,24518726,9,9
DMR_18,chr1,49242359,49243472,9,9
DMR_180,chr8,104510754,104514118,15,15
DMR_183,chr4,82135607,82136940,8,8
DMR_186,chr14,63511872,63513359,6,6
DMR_187,chr14,97684259,97686001,12,12
DMR_192,chr16,56223970,56228901,27,27
DMR_193,chr6,80656586,80658030,14,14
DMR_195,chr2,185462269,185463803,14,14
DMR_196,chr2,210636188,210636844,8,8
DMR_199,chr7,155241490,155244727,12,12
DMR_201,chr4,107955762,107958805,13,13
DMR_202,chr8,54789207,54795315,23,23
DMR_205,chr1,4714008,4716554,15,14
DMR_209,chr10,26503187,26507383,21,20
DMR_213,chr14,57282784,57284528,8,8
DMR_215,chr10,106398816,106402908,23,22
DMR_218,chr11,69631981,69635508,25,25
DMR_219,chr3,154796045,154798648,17,17
DMR_22,chr19,56904442,56905587,13,12
DMR_221,chr14,48143434,48145588,9,8
DMR_223,chr10,50816058,50818911,16,16
DMR_226,chr16,10274064,10277505,24,24
DMR_229,chr3,179754239,179755696,12,12
DMR_23,chr12,72665282,72668470,17,17
DMR_230,chr20,37351841,37358077,24,24
DMR_231,chr21,27010160,27012878,15,15
DMR_25,chr8,32404299,32406928,10,9
DMR_26,chr7,98466938,98468586,7,6
DMR_27,chr2,115918326,115921258,13,13
DMR_29,chr6,390933,394966,16,16
DMR_31,chr1,108505752,108508626,11,11
DMR_32,chr3,96532006,96533824,14,14
DMR_35,chr19,36909326,36910116,7,7
DMR_36,chr4,96468962,96471143,22,22
DMR_37,chr8,85094437,85097429,21,19
DMR_38,chr13,36870809,36873065,15,15
DMR_4,chr19,12266489,12267897,9,9
DMR_41,chr10,7450112,7455714,25,25
DMR_44,chr18,44336399,44338147,8,8
DMR_45,chr6,118227732,118229732,14,14
DMR_48,chr8,16884197,16885270,8,8
DMR_49,chr17,77178665,77179999,6,6
DMR_50,chr1,242686709,242688681,12,12
DMR_53,chr3,13323567,13325360,10,10
DMR_57,chr2,105459097,105462246,14,14
DMR_61,chr19,58609269,58611007,15,14
DMR_62,chr1,57887655,57890636,15,15
DMR_64,chr4,166793622,166796212,17,17
DMR_65,chr20,53091600,53093152,12,12
DMR_68,chr13,88323266,88326918,20,20
DMR_69,chr15,79381747,79383980,24,24
DMR_7,chr6,62995523,62997123,14,14
DMR_70,chr2,70994758,70996021,14,14
DMR_74,chr20,25061762,25065553,20,20
DMR_78,chr19,52872727,52873624,10,10
DMR_79,chr11,91956670,91960644,14,14
DMR_80,chr7,103629099,103631129,14,14
DMR_81,chr5,178770629,178773708,14,14
DMR_83,chr9,101469203,101471607,9,9
DMR_85,chr5,170742118,170745466,10,10
DMR_9,chr8,67872678,67875922,14,14
DMR_93,chr10,105036495,105038444,12,12
DMR_94,chr20,61806628,61810902,24,23
DMR_95,chr4,156587892,156589349,13,13
DMR_96,chr4,134067133,134070598,21,21
DMR_98,chr13,102568345,102570482,10,10
