"coord","seqnames","start","end","width","no.cpgs","strand","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr3:192126023-192127991","chr3",192126023,192127991,1969,13,"*",0,0,1.08122262447999e-223,0,0.492121757760417,0.361166077818059,"FGF12"
"chr19:12266489-12267897","chr19",12266489,12267897,1409,10,"*",0,0,1.33209228707102e-285,0,0.473922969844839,0.351602984885498,"ZNF625-ZNF20, ZNF625"
"chr13:28500882-28503812","chr13",28500882,28503812,2931,15,"*",0,0,1.1353732417858e-287,0,0.4284664645,0.349477364573798,NA
"chr10:7450112-7455714","chr10",7450112,7455714,5603,30,"*",0,0,2.59525779589014e-263,0,0.562610587239583,0.326940155642584,"SFMBT2"
"chr12:95941571-95943131","chr12",95941571,95943131,1561,19,"*",0,0,4.14619714766274e-124,0,0.468158701604167,0.323130464372435,"USP44"
"chr10:118030848-118034357","chr10",118030848,118034357,3510,33,"*",0,0,3.52470669678e-193,0,0.482604227479167,0.313156379543068,"GFRA1"
"chr7:24322873-24325371","chr7",24322873,24325371,2499,18,"*",0,0,7.58111263018589e-194,0,0.513341977229167,0.312161633167659,"NPY"
"chr6:62995523-62997123","chr6",62995523,62997123,1601,14,"*",0,0,1.27929913945554e-170,0,0.423887013333333,0.310872401795932,"KHDRBS2"
"chr13:25620954-25621735","chr13",25620954,25621735,782,6,"*",0,0,6.43903555878775e-129,0,0.40294860953125,0.306807617167045,NA
"chr6:29520698-29521803","chr6",29520698,29521803,1106,34,"*",0,0,1.27752632470874e-198,0,0.423669354572917,0.304424821650458,"OR2I1P"
"chr7:134142981-134144288","chr7",134142981,134144288,1308,16,"*",0,0,1.65078651907001e-124,0,0.409242372531269,0.302437874661732,"AKR1B1"
"chr6:133561368-133564578","chr6",133561368,133564578,3211,46,"*",0,0,7.78892711586296e-201,0,0.47976782840625,0.301841276452241,"EYA4"
"chr19:37997105-37998171","chr19",37997105,37998171,1067,16,"*",0,0,5.9309232700622e-125,0,0.392122874194058,0.300586679959902,"ZNF793, CTD-3064H18.1"
"chr19:57831549-57832339","chr19",57831549,57832339,791,8,"*",0,0,1.72992559239377e-77,0,0.419846052541667,0.299116239310753,"ZNF543"
"chr8:67343066-67345767","chr8",67343066,67345767,2702,13,"*",0,0,3.92511051498818e-283,0,0.509201994010417,0.298396042897738,"ADHFE1"
"chr5:127872037-127875163","chr5",127872037,127875163,3127,24,"*",0,0,2.72287298326287e-163,0,0.429765655895833,0.298068872455325,"SLC27A6, FBN2"
"chr20:61049777-61051802","chr20",61049777,61051802,2026,25,"*",0,0,9.45134495856252e-97,0,0.430160213776386,0.297004769705727,"GATA5"
"chr22:25678262-25679145","chr22",25678262,25679145,884,6,"*",0,0,1.2603613863017e-91,0,0.3828635506875,0.295362653783232,"RP3-462D8.2"
"chr21:38076709-38083586","chr21",38076709,38083586,6878,24,"*",0,0,1.61290540987045e-180,0,0.379558355899196,0.294654275996202,"SIM2"
"chr18:44336399-44338147","chr18",44336399,44338147,1749,7,"*",0,0,1.61896826817533e-147,0,0.418075601306303,0.292464774810303,"RP11-742D12.2, ST8SIA5"
"chr8:145103309-145107857","chr8",145103309,145107857,4549,19,"*",0,0,0,0,0.602181518729167,0.292231456416184,"CTD-3065J16.6, OPLAH"
"chr15:28351607-28353889","chr15",28351607,28353889,2283,10,"*",0,0,7.58384757874111e-239,0,0.536644799854167,0.290004109620963,NA
"chr8:16884197-16885270","chr8",16884197,16885270,1074,12,"*",0,0,2.96516047220781e-111,0,0.3486905470625,0.288693013410858,"MICU3"
"chr19:58951434-58952361","chr19",58951434,58952361,928,11,"*",0,0,9.22746278345607e-202,0,0.446840936302083,0.288412559511976,"CTD-2619J13.19, ZNF132"
"chr8:85094437-85097429","chr8",85094437,85097429,2993,20,"*",0,0,6.76180641413566e-130,0,0.369831040104167,0.285465449232691,"RALYL"
"chr1:57887655-57890636","chr1",57887655,57890636,2982,13,"*",0,0,2.2059517686141e-106,0,0.42094556028125,0.285271166727552,"DAB1"
"chr5:174158654-174159705","chr5",174158654,174159705,1052,6,"*",0,0,1.32789120124701e-103,0,0.344440274018553,0.284969290398417,NA
"chr13:113763758-113765634","chr13",113763758,113765634,1877,8,"*",0,0,1.17582189003381e-198,0,0.4170455529157,0.284342129790111,"F7"
"chr10:102893925-102896869","chr10",102893925,102896869,2945,16,"*",0,0,1.32504057072163e-202,0,0.533168734552083,0.284333981013916,"TLX1, RP11-31L23.3"
"chr4:111549880-111555503","chr4",111549880,111555503,5624,21,"*",0,0,3.44065843317743e-213,0,0.467953409875,0.284087850013263,"PITX2"
"chr4:96468962-96471143","chr4",96468962,96471143,2182,26,"*",0,0,1.00427811295503e-160,0,0.388809306049281,0.282407600875827,"RP11-710C12.1, UNC5C"
"chr2:139537131-139539181","chr2",139537131,139539181,2051,13,"*",0,0,2.72832087854211e-187,0,0.44088853671875,0.281954426629427,"NXPH2"
"chr12:104696685-104697983","chr12",104696685,104697983,1299,14,"*",0,0,6.11504109893492e-120,0,0.3899882464375,0.280520458480872,"TXNRD1, EID3"
"chr8:67872678-67875922","chr8",67872678,67875922,3245,19,"*",0,0,4.17656519849379e-180,0,0.407421573375,0.279431956463856,"TCF24"
