DMR_ID,coordinate_key,validation_mean_deltaBeta,legacy_discovery_deltaBeta,discovery_deltaBeta,discovery_no_cpgs,legacy_minus_validation,corrected_minus_validation
DMR_1,chr19:37997105-37998171,0.328616435696098,0.328616435696098,0.300586679959902,16,0,-0.028029755736196
DMR_10,chr20:41817011-41819775,0.28162433000408,0.28162433000408,0.249260958454015,12,0,-0.032363371550065
DMR_102,chr11:65600773-65601427,0.221284198966765,0.221284198966765,0.265471117767985,12,0,0.04418691880122
DMR_103,chr7:145812625-145814306,0.220962485659266,0.220962485659266,0.242775347938437,16,0,0.021812862279171
DMR_104,chr8:89338965-89341103,0.220293595950096,0.220293595950096,0.238454615378251,13,0,0.018161019428155
DMR_108,chr2:137521943-137523892,0.219152609328831,0.219152609328831,0.204735436721774,9,0,-0.014417172607057
DMR_11,chr2:144693520-144695257,0.280700128615106,0.280700128615106,0.275103969029897,11,0,-0.00559615958520904
DMR_110,chr6:94126141-94129636,0.219082771380032,0.219082771380032,0.225160528532658,17,0,0.00607775715262601
DMR_112,chr7:84814140-84816843,0.218079085956795,0.218079085956795,0.249824085941954,14,0,0.031744999985159
DMR_116,chr17:6616351-6617470,0.216312237285097,0.216312237285097,0.265748866266515,14,0,0.049436628981418
DMR_118,chr4:110222806-110224951,0.216263362788925,0.216263362788925,0.257666053426922,21,0,0.041402690637997
DMR_119,chr11:105479843-105481988,0.215954124079686,0.215954124079686,0.237480192808549,26,0,0.021526068728863
DMR_12,chr20:61049777-61051802,0.280338999267705,0.280338999267705,0.297004769705727,25,0,0.016665770438022
DMR_120,chr11:20689672-20693928,0.21490479323329,0.21490479323329,0.21400589064631,25,0,-0.000898902586979999
DMR_122,chr2:154727485-154730326,0.214340487860359,0.214340487860359,0.23087618759036,21,0,0.016535699730001
DMR_123,chr6:85471973-85474803,0.213977879642294,0.213977879642294,0.251088764483576,18,0,0.037110884841282
DMR_125,chr4:5712426-5713546,0.213854988950398,0.213854988950398,0.22820392321434,12,0,0.014348934263942
DMR_129,chr9:37026418-37027815,0.210648575898814,0.210648575898814,0.250858712127604,7,0,0.04021013622879
DMR_132,chr1:77331940-77334748,0.209272059707741,0.209272059707741,0.23556635234499,18,0,0.026294292637249
DMR_133,chr18:25754301-25758434,0.208650000681814,0.208650000681814,0.242355186179343,21,0,0.033705185497529
DMR_14,chr10:118030848-118034357,0.279911091572014,0.279911091572014,0.313156379543068,33,0,0.033245287971054
DMR_142,chr8:55379034-55380663,0.203485448156812,0.203485448156812,0.249980833801557,8,0,0.046495385644745
DMR_145,chr19:53757677-53758609,0.202117306136216,0.202117306136216,0.253993269436092,7,0,0.051875963299876
DMR_149,chr13:25620954-25621735,0.257624143498579,0.257624143498579,0.306807617167045,6,0,0.049183473668466
DMR_15,chr19:37406260-37408110,0.277553432842743,0.277553432842743,0.2374576153474,15,0,-0.040095817495343
DMR_152,chr19:13616871-13617970,0.2307180498623,0.2307180498623,0.252918888333978,12,0,0.022200838471678
DMR_153,chr7:108095719-108097606,0.229475879384081,0.229475879384081,0.23021784193939,12,0,0.000741962555308978
DMR_154,chr18:18821328-18823509,0.227274927008142,0.227274927008142,0.222006248166138,14,0,-0.00526867884200399
DMR_158,chr11:110581434-110584727,0.221541379316953,0.221541379316953,0.236659048817713,26,0,0.01511766950076
DMR_159,chr12:24714652-24717178,0.220386690473177,0.220386690473177,0.22053311772351,20,0,0.000146427250333009
DMR_16,chr7:49812430-49816819,0.27656595406094,0.27656595406094,0.242536262339372,20,0,-0.034029691721568
DMR_160,chr6:127438426-127442679,0.219420561467137,0.219420561467137,0.206971522036328,25,0,-0.012449039430809
DMR_162,chr13:95362829-95366456,0.218125708720837,0.218125708720837,0.219556271815578,25,0,0.00143056309474099
DMR_163,chr13:96296144-96297326,0.217962076988089,0.217962076988089,0.26204505335035,12,0,0.044082976362261
DMR_164,chr3:140769274-140771786,0.216856208285013,0.216856208285013,0.224205208816232,21,0,0.00734900053121898
